final_label,n_field,recall_field,n_mos,recall_mos,delta,overall_field,overall_mosaic
Alnus incana,4,0.75,4,0,-0.75,0.7179,0.5559
Artemisia tridentata,14,0.7857142857142857,14,0.14285714285714285,-0.6428571428571428,0.7179,0.5559
Sambucus racemosa,19,0.631578947368421,19,0.05263157894736842,-0.5789473684210527,0.7179,0.5559
Purshia tridentata,4,0.5,4,0,-0.5,0.7179,0.5559
Dasiphora fruticosa,34,0.7647058823529411,34,0.2647058823529412,-0.49999999999999994,0.7179,0.5559
S25,15,1,15,0.5333333333333333,-0.4666666666666667,0.7179,0.5559
Ribes sp.,18,0.6111111111111112,18,0.2222222222222222,-0.38888888888888895,0.7179,0.5559
Betula glandulosa,6,0.3333333333333333,6,0,-0.3333333333333333,0.7179,0.5559
Prunus virginiana,3,0.6666666666666666,3,0.3333333333333333,-0.3333333333333333,0.7179,0.5559
S09,41,0.926829268292683,41,0.6097560975609756,-0.3170731707317074,0.7179,0.5559
Salix wolfii,46,0.717391304347826,46,0.43478260869565216,-0.2826086956521739,0.7179,0.5559
S02,30,0.6,30,0.3333333333333333,-0.26666666666666666,0.7179,0.5559
S05,24,0.7916666666666666,24,0.5416666666666666,-0.25,0.7179,0.5559
S26,14,1,14,0.7857142857142857,-0.2142857142857143,0.7179,0.5559
Salix planifolia,28,0.4642857142857143,28,0.25,-0.2142857142857143,0.7179,0.5559
S08,28,0.8214285714285714,28,0.6428571428571429,-0.1785714285714285,0.7179,0.5559
Ligusticum porteri,12,0.16666666666666666,12,0,-0.16666666666666666,0.7179,0.5559
S19,6,1,6,0.8333333333333334,-0.16666666666666663,0.7179,0.5559
Juniperus sp.,22,0.8181818181818182,22,0.6818181818181818,-0.13636363636363646,0.7179,0.5559
S01,64,0.9375,64,0.8125,-0.125,0.7179,0.5559
S07,43,0.7906976744186046,43,0.6744186046511628,-0.11627906976744184,0.7179,0.5559
S14,11,0.6363636363636364,11,0.5454545454545454,-0.09090909090909094,0.7179,0.5559
S13,15,0.8666666666666667,15,0.8,-0.06666666666666665,0.7179,0.5559
Salix boothii,30,0.36666666666666664,30,0.3,-0.06666666666666665,0.7179,0.5559
Salix other,53,0.6226415094339622,53,0.5660377358490566,-0.05660377358490565,0.7179,0.5559
S20,37,0.918918918918919,37,0.8648648648648649,-0.05405405405405406,0.7179,0.5559
S10,21,0.8571428571428571,21,0.8095238095238095,-0.04761904761904756,0.7179,0.5559
S23,25,0.8,25,0.76,-0.040000000000000036,0.7179,0.5559
Amelanchier alnifolia,12,0.6666666666666666,12,0.6666666666666666,0,0.7179,0.5559
Caltha leptosepala,5,0,5,0,0,0.7179,0.5559
Corydalis caseana,5,0.2,5,0.2,0,0.7179,0.5559
Lonicera involucrata,6,0,6,0,0,0.7179,0.5559
Osmorhiza occidentalis,5,0,5,0,0,0.7179,0.5559
S04,1,0,1,0,0,0.7179,0.5559
S11,18,0.6666666666666666,18,0.6666666666666666,0,0.7179,0.5559
S12,6,0.8333333333333334,6,0.8333333333333334,0,0.7179,0.5559
S15,9,0.7777777777777778,9,0.7777777777777778,0,0.7179,0.5559
S16,9,0.5555555555555556,9,0.5555555555555556,0,0.7179,0.5559
S17,1,0,1,0,0,0.7179,0.5559
S18,10,0.9,10,0.9,0,0.7179,0.5559
S21,17,0.9411764705882353,17,0.9411764705882353,0,0.7179,0.5559
S24,13,1,13,1,0,0.7179,0.5559
Symphoricarpos rotundifolius,11,0.18181818181818182,11,0.18181818181818182,0,0.7179,0.5559
Veratrum tenuipetalum,17,0.35294117647058826,17,0.35294117647058826,0,0.7179,0.5559
S22,23,0.8260869565217391,23,0.8695652173913043,0.04347826086956519,0.7179,0.5559
S03,9,0.5555555555555556,9,0.6666666666666666,0.11111111111111105,0.7179,0.5559
S06,14,0.7142857142857143,14,0.8571428571428571,0.1428571428571428,0.7179,0.5559
