canonical_binomial,canonical_genus,final_label
Salix wolfii,Salix,Salix sp.
Salix boothii,Salix,Salix sp.
Dasiphora fruticosa,Dasiphora,Dasiphora fruticosa
Artemisia tridentata,Artemisia,Artemisia tridentata
Salix brachycarpa,Salix,Salix sp.
Salix planifolia,Salix,Salix sp.
Lonicera involucrata,Lonicera,Lonicera involucrata
Symphoricarpos rotundifolius,Symphoricarpos,Symphoricarpos rotundifolius
Sambucus racemosa,Sambucus,Sambucus racemosa
Salix glauca,Salix,Salix sp.
Juniperus communis,Juniperus,Juniperus sp.
Salix drummondiana,Salix,Salix sp.
Salix sp.,Salix,Salix sp.
Ribes montigenum,Ribes,Ribes sp.
Rubus idaeus,Rubus,NA
Sorbus scopulina,Sorbus,NA
Alnus incana,Alnus,Alnus incana
Salix geyeriana,Salix,Salix sp.
Betula glandulosa,Betula,Betula glandulosa
Amelanchier alnifolia,Amelanchier,Amelanchier alnifolia
Juniperus scopulorum,Juniperus,Juniperus sp.
Ribes cereum,Ribes,Ribes sp.
Purshia tridentata,Purshia,Purshia tridentata
Acer glabrum,Acer,NA
Salix monticola,Salix,Salix sp.
Holodiscus discolor,Holodiscus,NA
Prunus virginiana,Prunus,Prunus virginiana
Salix scouleriana,Salix,Salix sp.
Ribes inerme,Ribes,Ribes sp.
Ribes wolfii,Ribes,Ribes sp.
Artemisia cana,Artemisia,NA
Cornus sericea,Cornus,NA
